Model;File;Prefix (h);Encoding;RMSE_Before_CV_s;CV_RMSE_Scores_s;CV_RMSE_Mean_s;CV_RMSE_Std_s;CV_RMSE_Mean_m;CV_RMSE_Std_m
RFR;EVENT-LOG_ED_duration_prefix_1h_B.csv;1;B;647.8588690987112;[1291.2686531403756, 890.6156241914717, 1155.6697526619303, 976.2059608908943, 1100.8065566781017];1082.9133095125546;139.56394631985285;18.048555158542577;2.3260657719975475
XGR;EVENT-LOG_ED_duration_prefix_1h_B.csv;1;B;2351.1463731816993;[4731.629951337902, 2223.5993950500165, 3552.5988806041732, 4533.554721536995, 7336.297269860956];4475.536043678008;1683.8014565957253;74.59226739463347;28.063357609928754
RFR;EVENT-LOG_ED_duration_prefix_1h_F.csv;1;F;600.0146679923807;[1282.7358201397906, 862.090363943882, 1155.3589914219792, 1011.124384342123, 1090.1005981255892];1080.2820315946728;140.79124592647477;18.00470052657788;2.3465207654412463
XGR;EVENT-LOG_ED_duration_prefix_1h_F.csv;1;F;2480.6682636093415;[4485.537822902372, 2120.417781429895, 3226.687644404225, 4682.885597795522, 7157.257023094866];4334.5571739253755;1687.6937180415473;72.24261956542293;28.12822863402579
RFR;EVENT-LOG_ED_duration_prefix_1h_I.csv;1;I;647.9572457071027;[1279.1421909941673, 883.0857748813954, 1166.9178064937228, 963.1535226066741, 1147.9377882019446];1088.047416635581;144.17514844533113;18.134123610593015;2.402919140755519
XGR;EVENT-LOG_ED_duration_prefix_1h_I.csv;1;I;2564.9970445448494;[4505.979483431365, 2215.7724101966664, 3408.364098784755, 4676.822969106278, 7503.676068591214];4462.123006022055;1758.1560414894907;74.36871676703426;29.302600691491513
RFR;EVENT-LOG_ED_duration_prefix_2h_B.csv;2;B;1143.410730248724;[1733.118743133765, 1487.6339657270762, 1687.4410208700094, 1612.5077780737136, 1599.926305822801];1624.125562725473;83.9510495724693;27.068759378757882;1.399184159541155
XGR;EVENT-LOG_ED_duration_prefix_2h_B.csv;2;B;2198.188450932736;[4684.276531746856, 2597.465345256367, 3334.7966773610183, 4399.800939408646, 6298.419157437939];4262.951730242165;1262.9082818913896;71.04919550403608;21.048471364856493
XGR;EVENT-LOG_ED_duration_prefix_2h_F.csv;2;F;2121.0260378105313;[4712.308863735031, 2498.813666415312, 2851.187628229803, 4474.485222183747, 5369.362235370245];3981.231523186828;1111.6871925275307;66.35385871978046;18.528119875458845
RFR;EVENT-LOG_ED_duration_prefix_2h_F.csv;2;F;1008.5190229491229;[1665.9338331944825, 1361.8310632360863, 1636.3286875789584, 1589.5928133000325, 1495.0216616853356];1549.7416117989792;110.35462787547611;25.82902686331632;1.839243797924602
RFR;EVENT-LOG_ED_duration_prefix_2h_I.csv;2;I;1097.8422238554601;[1703.2319121031535, 1439.4965325120872, 1679.1353278333766, 1595.622836577216, 1623.0610265370897];1608.1095271125846;92.63124658346992;26.80182545187641;1.5438541097244987
XGR;EVENT-LOG_ED_duration_prefix_2h_I.csv;2;I;2130.863368369403;[4677.921758330853, 2600.6165933787743, 3375.936710536554, 4466.205883149058, 6237.0130296652505];4271.5387950120985;1237.7572825714212;71.19231325020164;20.62928804285702
RFR;EVENT-LOG_ED_duration_prefix_3h_B.csv;3;B;1778.2903261813965;[2405.3189648762286, 2056.1515807990763, 2422.4343318069896, 2225.7356609013987, 2422.8548140016096];2306.4990704770607;145.5620893737149;38.44165117461768;2.4260348228952484
XGR;EVENT-LOG_ED_duration_prefix_3h_B.csv;3;B;4143.691848193932;[4340.647997837112, 2321.815041526279, 5216.92762879298, 3917.8589430935344, 6417.419936459038];4442.933909541789;1362.5690975731868;74.04889849236315;22.709484959553112
RFR;EVENT-LOG_ED_duration_prefix_3h_F.csv;3;F;1563.0325303683303;[2311.185007530877, 1918.149420475821, 2298.652118018209, 2134.532613423246, 2357.9688171465723];2204.0975953189454;161.6726754440116;36.73495992198242;2.6945445907335266
XGR;EVENT-LOG_ED_duration_prefix_3h_F.csv;3;F;3841.7714182125646;[4113.063467208478, 2341.3881395606236, 5135.640590683082, 4892.620831054763, 5683.951808404655];4433.33296738232;1161.6397496965021;73.88888278970533;19.360662494941703
RFR;EVENT-LOG_ED_duration_prefix_3h_I.csv;3;I;1704.9160940328295;[2364.734614353978, 2003.3332513352275, 2392.260502576746, 2174.530336023715, 2402.195932780882];2267.410927414109;155.94238512337407;37.790182123568485;2.5990397520562345
XGR;EVENT-LOG_ED_duration_prefix_3h_I.csv;3;I;4036.090649479813;[4207.215422653061, 2246.9982403598956, 5050.822643401474, 4479.744300324759, 6403.3123417720135];4477.618589702241;1348.0095584404314;74.62697649503734;22.46682597400719
